candidate_id,expression_hash,expression,factor_lane,source_lane,source_generator,fields,fields_list,max_window,search_memory_key,policy_score,expected_direction,x0_r3_role,note
phase3bp_03030,80b7d1afbf1dd3d0b14375e0,"CSRank(CSResidual(CSRank(Delta($intraday_ret_from_open,30)),CSRank(Std($ret_1m,30))))",rx_interaction::rx_intraday_return::rx_volatility_state::residual,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,phase3bp:80b7d1afbf1dd3d0b14375e0,0.22309096,1,read_only_research_candidate,rx interaction intraday_delta_30 x ret_vol_30 residual
phase3bp_03028,7d162a40a608f2134a09b324,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Std($ret_1m,30))))",rx_interaction::rx_intraday_return::rx_volatility_state::product,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,phase3bp:7d162a40a608f2134a09b324,0.22128052,1,read_only_research_candidate,rx interaction intraday_delta_30 x ret_vol_30 product
phase3bp_00106,99d1e7f5a79f49f3a2661218,"Neg(CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30)))))",rx_range_location::inverted,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,close|high|low,"['close', 'high', 'low']",0,phase3bp:99d1e7f5a79f49f3a2661218,0.22123996,1,read_only_research_candidate,rx atom transform bar_loc_shift_30
phase3bp_00105,c70970f75bba91b06e076457,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))))",rx_range_location::rank,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,close|high|low,"['close', 'high', 'low']",0,phase3bp:c70970f75bba91b06e076457,0.22042639,1,read_only_research_candidate,rx atom transform bar_loc_shift_30
phase3bp_02982,9add00880d94cd245b705bed,"CSRank(CSResidual(CSRank(Delta($intraday_ret_from_open,30)),CSRank(Std($ret_1m,8))))",rx_interaction::rx_intraday_return::rx_volatility_state::residual,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,phase3bp:9add00880d94cd245b705bed,0.21800741,1,read_only_research_candidate,rx interaction intraday_delta_30 x ret_vol_8 residual
phase3bp_01506,4570d511d105f1d4e9579447,"CSRank(CSResidual(CSRank(Delta($intraday_ret_from_open,8)),CSRank(Std($ret_1m,30))))",rx_interaction::rx_intraday_return::rx_volatility_state::residual,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,phase3bp:4570d511d105f1d4e9579447,0.21800741,1,read_only_research_candidate,rx interaction intraday_delta_8 x ret_vol_30 residual
phase3bp_00050,40d0c61f06fc8f8c8ebe806f,"Neg(CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8)))))",rx_range_location::inverted,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,close|high|low,"['close', 'high', 'low']",0,phase3bp:40d0c61f06fc8f8c8ebe806f,0.21107286,1,read_only_research_candidate,rx atom transform bar_loc_shift_8
phase3bp_00049,919d4ed87c7ad94cd1a0cf0a,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8))))",rx_range_location::rank,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,close|high|low,"['close', 'high', 'low']",0,phase3bp:919d4ed87c7ad94cd1a0cf0a,0.21025929,1,read_only_research_candidate,rx atom transform bar_loc_shift_8
phase3bp_00101,4534dbe823cd3f2dfec12538,"CSRank(ZScore(Delta($intraday_ret_from_open,30)))",rx_intraday_return::rank,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,intraday_ret_from_open,['intraday_ret_from_open'],30,phase3bp:4534dbe823cd3f2dfec12538,0.16704187,1,read_only_research_candidate,rx atom transform intraday_delta_30
phase3bp_00102,aa9a6af0255f880beee0b6ee,"Neg(CSRank(ZScore(Delta($intraday_ret_from_open,30))))",rx_intraday_return::inverted,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,intraday_ret_from_open,['intraday_ret_from_open'],30,phase3bp:aa9a6af0255f880beee0b6ee,0.16702772,1,read_only_research_candidate,rx atom transform intraday_delta_30
